bits, TICKS
0, 15667267 
0, 15697905 
0, 15728545 
0, 15759183 
0, 15789824 
0, 15820464 
0, 15851101 
0, 15881739 
0, 15912380 
0, 15943020 
0, 15973657 
0, 16004295 
0, 16030267 
0, 16060905 
0, 16091544 
0, 16122183 
0, 16152822 
0, 16183460 
0, 16214098 
0, 16244737 
0, 16275376 
0, 16306014 
0, 16336649 
0, 16367287 
0, 16397925 
0, 16428562 
0, 16459199 
0, 16489837 
0, 16520475 
0, 16551112 
0, 16581744 
0, 16612382 
0, 16643020 
0, 16673654 
0, 16704292 
0, 16734930 
0, 16765568 
0, 16796205 
0, 16826842 
0, 16857480 
0, 16888118 
0, 16918755 
0, 16949392 
0, 16980030 
0, 17010668 
0, 17041305 
0, 17071942 
0, 17102580 
0, 17133218 
0, 17159187 
0, 17189828 
0, 17220469 
0, 17251110 
0, 17281750 
0, 17312388 
0, 17343029 
0, 17373670 
0, 17404310 
0, 17434947 
0, 17465585 
0, 17496226 
0, 17526866 
0, 17557503 
0, 17588141 
0, 17618782 
0, 17649422 
0, 17680059 
0, 17710697 
0, 17741338 
0, 17771978 
0, 17802615 
0, 17833253 
0, 17863894 
0, 17894534 
0, 17925171 
0, 17955809 
0, 17986450 
0, 18017090 
0, 18047727 
0, 18078365 
0, 18109006 
0, 18139646 
0, 18170283 
0, 18200921 
0, 18231562 
0, 18262203 
0, 18288017 
0, 18318656 
0, 18349294 
0, 18379931 
0, 18410569 
0, 18441207 
0, 18471845 
0, 18502482 
0, 18533119 
0, 18563757 
0, 18594395 
0, 18625032 
0, 18655669 
0, 18686307 
0, 18716945 
0, 18747582 
0, 18778219 
0, 18808857 
0, 18839495 
0, 18870132 
0, 18900769 
0, 18931407 
0, 18962045 
0, 18992682 
0, 19023319 
0, 19053957 
0, 19084595 
0, 19115232 
0, 19145869 
0, 19176507 
0, 19207145 
0, 19237782 
0, 19268419 
0, 19299057 
0, 19329695 
0, 19360332 
0, 19386300 
0, 19416940 
0, 19447578 
0, 19478215 
0, 19508853 
0, 19539491 
0, 19570129 
0, 19600766 
0, 19631404 
0, 19662042 
0, 19692680 
0, 19723317 
0, 19753954 
0, 19784592 
0, 19815230 
0, 19845867 
0, 19876504 
0, 19907142 
0, 19937780 
0, 19968417 
0, 19999054 
0, 20029692 
0, 20060330 
0, 20090964 
0, 20121602 
0, 20152237 
0, 20182876 
0, 20213514 
0, 20244148 
0, 20274787 
0, 20305426 
0, 20336062 
0, 20366698 
0, 20397337 
0, 20427976 
0, 20458614 
0, 20489251 
0, 20515220 
0, 20545855 
