X, Y, Z, TICKS
1984,2003,2091,1734528
1983,2005,2091,1736243
1983,2005,2089,1737925
1981,2005,2091,1739607
1983,2005,2102,1741290
1983,2006,2091,1742973
1981,2005,2087,1744656
1983,2009,2090,1746338
1985,2009,2090,1763281
1983,2006,2091,1764965
1984,2006,2090,1766647
1983,2006,2088,1768329
1983,2007,2092,1770012
1979,2006,2091,1771695
1983,2003,2087,1773378
1980,2005,2090,1775080
1986,2009,2090,1776762
1982,2005,2088,1778444
1979,2005,2095,1780126
1980,1994,2088,1781808
1985,2005,2089,1783491
1983,2005,2090,1785174
1983,2006,2089,1786857
1983,2006,2091,1788539
1982,2004,2088,1790221
1985,1999,2091,1791903
1983,2004,2090,1793585
1985,2005,2090,1810552
1983,2008,2087,1812236
1983,2002,2089,1813919
1995,2004,2091,1815633
1982,2005,2088,1817316
1987,2006,2091,1818999
1982,2006,2090,1820681
1982,2005,2089,1822363
1983,2005,2089,1824045
1983,2005,2089,1825727
1983,2007,2091,1827409
1976,2004,2089,1829092
1982,2004,2089,1830775
1984,2008,2089,1832458
1985,2006,2091,1834140
1982,2006,2083,1835840
1982,1999,2090,1837523
1983,2005,2091,1839206
1984,2005,2091,1840888
1983,2009,2090,1857833
1983,2008,2088,1859517
1985,2003,2091,1861199
1979,2006,2094,1862881
1983,2007,2091,1864564
1983,2008,2091,1866247
1983,2007,2089,1867930
1985,2006,2096,1869612
1981,2008,2098,1871294
1982,2005,2091,1872976
1982,2005,2089,1874681
1982,2005,2090,1876363
1983,2005,2090,1878045
1981,2006,2091,1879727
1984,2004,2090,1881408
1982,2005,2090,1883091
1986,2004,2090,1884774
1983,2005,2090,1886457
1983,2006,2097,1888140
1986,2005,2091,1905085
1985,2005,2090,1906769
1983,2006,2091,1908451
1983,2004,2090,1910133
1986,2005,2089,1911815
1982,2007,2091,1913497
1984,2005,2091,1915196
1983,2006,2091,1916878
1981,2005,2093,1918560
1982,2003,2090,1920242
1985,2005,2092,1921924
1983,2006,2090,1923607
1979,2004,2091,1925290
1983,2007,2091,1926973
1983,2006,2091,1928655
1983,2004,2091,1930337
1982,2005,2087,1932019
1983,2010,2088,1933721
1983,2005,2091,1935403
1983,2005,2090,1952349
1983,2005,2091,1954065
1983,2002,2092,1955747
1983,2008,2092,1957430
1983,2006,2091,1959113
1981,2006,2091,1960796
1983,2006,2091,1962479
1983,2005,2093,1964162
1983,2003,2090,1965845
1983,2004,2091,1967528
1982,2004,2087,1969211
1984,2006,2091,1970893
1983,2006,2091,1972575
1983,2005,2091,1974290
1983,2005,2091,1975972
1983,2005,2090,1977654
1983,2004,2093,1979336
1983,2003,2089,1981019
1983,2005,2092,1982702
1985,2007,2090,1999608
1983,2006,2092,2001292
1984,2007,2091,2002974
1980,2007,2090,2004657
1983,1997,2089,2006340
1986,2006,2093,2008023
1983,2007,2092,2009705
1982,2005,2089,2011386
1983,2005,2091,2013088
1981,2005,2090,2014770
1983,2004,2088,2016452
1985,2007,2089,2018134
1983,2004,2091,2019816
1983,2006,2089,2021499
1983,2006,2089,2023182
1981,2006,2089,2024865
1982,2005,2085,2026547
1986,2004,2090,2028229
1984,2006,2092,2045195
1980,2006,2093,2046879
1983,2006,2092,2048562
1983,2003,2099,2050245
1983,2006,2092,2051928
1985,2006,2093,2053642
1983,2008,2091,2055324
1983,2000,2092,2057007
1983,2005,2091,2058690
1985,2007,2093,2060373
1981,2007,2091,2062056
1983,2006,2095,2063738
1983,2006,2091,2065421
1982,2006,2091,2067104
1983,2006,2091,2068787
1983,2005,2091,2070470
1983,2006,2090,2072152
1983,2005,2091,2073852
1983,2007,2093,2075534
1986,2005,2094,2092501
1988,2007,2092,2094185
1985,2006,2091,2095867
1985,2005,2091,2097550
1983,2007,2091,2099233
1985,2004,2089,2100916
1982,2002,2091,2102598
1984,2005,2090,2104280
1987,2006,2091,2105963
1983,2007,2087,2107646
